feature,shap_value_self,shap_value_shifted
平时成绩,2.727683228752696,1.015176754133186
练习3,2.2662886783636704,1.1426607527201926
考勤,2.116264595065501,0.1328170369019568
总实验 成绩,1.16496450568972,0.9629105180324218
练习2,0.8069576557362768,0.09317974523682704
练习1,0.7595862112994627,0.17052941993910276
总平时 成绩,0.6717351142329004,0.8301855402761498
总期末成绩,0.4395848410455722,0.10266420731456583
实验1,0.046888076993640226,0.006062257303586005
实验2,0.04641601334621498,0.012353037618405782
实验4,0.03699488707383386,0.021949493889092064
实验5,0.03340790208789207,0.011463602534244277
报告,8.243215929293335e-07,4.635818641851586e-06
序号,0.0,0.0
实验7,0.0,0.0066909410963282845
实验6,0.0,0.020845406284671686
实验3,0.0,0.0029568144057927626
