adaptation,train_domain,test_domain,model,accuracy,MAE,RMSE
none,SelfDataset,SelfDataset,RandomForest,1.0,1.875,2.5858
none,SelfDataset,SelfDataset,MLP,1.0,23.3504,26.2872
none,SelfDataset,SelfDataset,DynamicFusion,1.0,42.3762,45.7087
none,SelfDataset,OULAD,RandomForest,0.0,72.7043,73.1304
none,SelfDataset,OULAD,MLP,0.0,27.4287,28.8602
none,SelfDataset,OULAD,DynamicFusion,0.0,10.8237,12.4617
none,OULAD,SelfDataset,RandomForest,0.0,67.0899,68.0495
none,OULAD,SelfDataset,MLP,0.0,68.6564,69.4631
none,OULAD,SelfDataset,DynamicFusion,0.0,69.3205,69.9151
none,OULAD,OULAD,RandomForest,1.0,2.3814,2.9156
none,OULAD,OULAD,MLP,1.0,6.0495,7.3108
none,OULAD,OULAD,DynamicFusion,1.0,6.1251,7.4155
coral,SelfDataset,SelfDataset,RandomForest,1.0,1.875,2.5858
coral,SelfDataset,SelfDataset,MLP,1.0,23.3504,26.2872
coral,SelfDataset,SelfDataset,DynamicFusion,1.0,42.3761,45.7086
coral,SelfDataset,OULAD,RandomForest,0.0,71.7748,72.3402
coral,SelfDataset,OULAD,MLP,0.0,68.0774,72.9766
coral,SelfDataset,OULAD,DynamicFusion,0.0,26.1371,29.6613
coral,OULAD,SelfDataset,RandomForest,0.0,74.9174,75.674
coral,OULAD,SelfDataset,MLP,0.0,72.4557,73.3198
coral,OULAD,SelfDataset,DynamicFusion,0.0,72.4924,73.3513
coral,OULAD,OULAD,RandomForest,1.0,2.3814,2.9156
coral,OULAD,OULAD,MLP,1.0,6.0508,7.31
coral,OULAD,OULAD,DynamicFusion,1.0,6.1247,7.4158
