lambda_transfer,lambda_diversity,lambda_stability,RMSE
0.0,0.0,0.0,6.340419552756779
0.0,0.0,0.01,5.689908031397495
0.0,0.0,0.1,5.892313343404713
0.0,0.01,0.0,5.679306668155633
0.0,0.01,0.01,6.385863677947571
0.0,0.01,0.1,6.085260512731768
0.0,0.1,0.0,5.9604043984667445
0.0,0.1,0.01,6.39843183617347
0.0,0.1,0.1,6.084564014823764
0.01,0.0,0.0,5.891042355593821
0.01,0.0,0.01,6.398490560868206
0.01,0.0,0.1,5.889118194114298
0.01,0.01,0.0,6.0330896289705
0.01,0.01,0.01,5.92065674824731
0.01,0.01,0.1,6.075237618026024
0.01,0.1,0.0,6.026628848663323
0.01,0.1,0.01,5.926312316554017
0.01,0.1,0.1,6.003642248282398
0.1,0.0,0.0,6.483023849723521
0.1,0.0,0.01,5.703559754405165
0.1,0.0,0.1,6.272201169232713
0.1,0.01,0.0,5.998350234513542
0.1,0.01,0.01,5.888673494506411
0.1,0.01,0.1,5.972612499328805
0.1,0.1,0.0,5.96563767381364
0.1,0.1,0.01,5.993015356458228
0.1,0.1,0.1,6.286542645900106
1.0,0.0,0.0,6.124139219250148
1.0,0.0,0.01,5.877257866912059
1.0,0.0,0.1,6.416394644912189
1.0,0.01,0.0,5.895252787805533
1.0,0.01,0.01,5.915704496708977
1.0,0.01,0.1,6.412344661861214
1.0,0.1,0.0,5.966867839185206
1.0,0.1,0.01,5.918236895740281
1.0,0.1,0.1,6.769851879488564
