epoch,loss_stability
1,0.005749356467276812
2,0.005911439191550016
3,0.0060813394375145435
4,0.006256625987589359
5,0.006435719784349203
6,0.006617532577365637
7,0.006801210343837738
8,0.006985627114772797
9,0.007169711869210005
10,0.007352896966040134
11,0.007534301374107599
12,0.00771371740847826
13,0.007890699431300163
14,0.008064392022788525
15,0.008234277367591858
16,0.008400396443903446
17,0.008562439121305943
18,0.008720165118575096
19,0.008873813785612583
20,0.00902322307229042
21,0.009168297983705997
22,0.009308584965765476
23,0.009444897063076496
24,0.009577172808349133
25,0.009705590084195137
26,0.009830277413129807
27,0.009951219893991947
28,0.010068967007100582
29,0.010184073820710182
30,0.010296233929693699
31,0.010405926033854485
32,0.01051268819719553
33,0.010616888292133808
34,0.010719112120568752
35,0.010819699615240097
36,0.010918824933469296
37,0.011016548611223698
38,0.011112683452665806
39,0.011207268573343754
40,0.011300361715257168
41,0.011392563581466675
42,0.011483983136713505
43,0.011574327945709229
44,0.011663740500807762
45,0.01175225805491209
46,0.01183990016579628
47,0.011926739476621151
48,0.012012919411063194
49,0.012098403647542
50,0.0121832937002182
51,0.012267345562577248
52,0.012350657023489475
53,0.01243339478969574
54,0.01251584105193615
55,0.012597988359630108
56,0.012679887935519218
57,0.012761318124830723
58,0.012842187657952309
59,0.012922686524689198
60,0.013002905994653702
61,0.013082773424685001
62,0.013162254355847836
63,0.013241340406239033
64,0.013320297934114933
65,0.01339893601834774
66,0.013477127999067307
67,0.013554808683693409
68,0.013632277958095074
69,0.0137094771489501
70,0.013786433264613152
71,0.01386314071714878
72,0.013939565047621727
73,0.014015690423548222
74,0.014091579243540764
75,0.014167195186018944
76,0.014242642559111118
77,0.014317888766527176
78,0.01439305767416954
79,0.014468088746070862
80,0.01454294566065073
81,0.014617660082876682
82,0.014692084863781929
83,0.014766200445592403
84,0.014840055257081985
85,0.014913680031895638
86,0.014987051486968994
87,0.015060077421367168
88,0.015132741071283817
89,0.015205129981040955
90,0.015277178958058357
91,0.015348853543400764
92,0.015420298092067242
93,0.015491852536797523
94,0.015563198365271091
95,0.015634557232260704
96,0.01570601388812065
97,0.015777237713336945
98,0.01584816537797451
99,0.015918899327516556
100,0.015989484265446663
